Case,취득률,시간,날씨,취득 위치,
NFD-10,0%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 눈길/빗길 / 하이패스 진출입 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-11,256%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 눈길/빗길 / 가드레일 시작 및 끝 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-12,0%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 눈길/빗길 / 혼잡 / 일반 주행 / 60kph 이하 / 카메라 오염 조합 / 고속도로 / 고속화도로
NFD-13,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 혼잡 / 일반 주행 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-14,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 터널 진출입 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-15,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 하이패스 진출입 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-16,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 가드레일 시작 및 끝 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-17,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 혼잡 / 일반 주행 / 60kph 이하 / 조도조건 조합 / 정상 / 고속도로 / 고속화도로
NFD-18,68%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 혼잡 / 일반 주행 / 60kph 이하 / 카메라 오염 조합 / 고속도로 / 고속화도로
NFD-19,92%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 눈길/빗길 / 일반 주행 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-2,0%,주간,맑음/흐림,고속도로 / 고속화도로,주간 / 맑음/흐림 / 일반도로 / 터널 진출입 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-20,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 눈길/빗길 / 터널 진출입 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-21,101%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 눈길/빗길 / 하이패스 진출입 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-22,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 눈길/빗길 / 가드레일 시작 및 끝 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-23,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 눈길/빗길 / 혼잡 / 일반 주행 / 60kph 이하 / 카메라 오염 조합 / 고속도로 / 고속화도로
NFD-24,5%,,,고속도로 / 고속화도로,/ 터널 / 혼잡 / 60kph 이하 / 카메라 오염 조합 / 고속도로 / 고속화도로
NFD-25,6%,,,고속도로 / 고속화도로,/ 터널 / 혼잡 / 60kph 이하 / 조도조건 조합 / 정상 / 고속도로 / 고속화도로
NFD-26,93%,,,고속도로 / 고속화도로,/ 60kph 이하 / 정상 / 폴 형태 구조물 / 고속도로 / 고속화도로
NFD-27,23%,,,고속도로 / 고속화도로,/ 60kph 이하 / 정상 / 임시 구조물 / 고속도로 / 고속화도로
NFD-3,69%,주간,맑음/흐림,고속도로 / 고속화도로,주간 / 맑음/흐림 / 일반도로 / 하이패스 진출입 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-8,59%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 눈길/빗길 / 일반 주행 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-9,80%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 눈길/빗길 / 터널 진출입 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NFD-U-1,9%,주간,맑음,도심,주간 / 맑음 / 일반주행 / 20~60kph(중저속) / 그림자 조합 / 조도조건 조합 / 도심
NFD-U-10,108%,주간,맑음,도심,"주간 / 맑음 / 일반주행 / 20~60kph(중저속) / 버스 정류장 (중앙, 인도) / 도심"
NFD-U-11,15%,야간,맑음,도심,야간 / 맑음 / 일반주행 / 20~60kph(중저속) / 그림자 조합 / 조도조건 조합 / 도심
NFD-U-12,0%,야간,흐림,도심,야간 / 흐림 / 일반주행 / 20~60kph(중저속) / 보도블럭 / 도심
